Year,Year Code,Country Name,Country Code,"Birth rate, crude (per 1,000 people) [SP.DYN.CBRT.IN]","Life expectancy at birth, total (years) [SP.DYN.LE00.IN]","Life expectancy at birth, male (years) [SP.DYN.LE00.MA.IN]","Life expectancy at birth, female (years) [SP.DYN.LE00.FE.IN]",Population growth (annual %) [SP.POP.GROW],"Population, female [SP.POP.TOTL.FE.IN]","Population, male [SP.POP.TOTL.MA.IN]","Population, total [SP.POP.TOTL]","Population, male (% of total population) [SP.POP.TOTL.MA.ZS]","Population, female (% of total population) [SP.POP.TOTL.FE.ZS]",Net migration [SM.POP.NETM]
2000,YR2000,European Union,EUU,10.4616211872313,77.0784477991605,73.8053461669825,80.5237318244249,0.119663588828516,220316701,209011921,429328622,48.6834348070651,51.3165651929349,..
2000,YR2000,Faroe Islands,FRO,15.1,78.4341463414634,75.8,81.2,0.665481278723865,..,..,46738,..,..,..
2000,YR2000,Fiji,FJI,24.738,65.687,64.007,67.48,0.582325537105146,399035,411976,811011,50.7978313487733,49.2021686512267,..
2000,YR2000,Finland,FIN,11,77.4658536585366,74.1,81,0.2076065154133,2649364,2526845,5176209,48.8165178057704,51.1834821942296,..
2000,YR2000,Fragile and conflict affected situations,FCS,39.3667813702021,54.4978006177715,52.8265054102895,56.151612990656,2.44820847092129,286089586,284454185,572303917,49.8566806081537,50.1433193918463,..
2000,YR2000,France,FRA,13.3,79.0560975609756,75.3,83,0.684945783642239,31366712,29545788,60912500,48.5052958995641,51.4947041004359,..
2000,YR2000,French Polynesia,PYF,20.172,72.303,69.75,75.285,1.872153116033,116864,123817,240681,51.4444430594854,48.5555569405146,..
2000,YR2000,Gabon,GAB,33.377,58.264,57.088,59.386,2.41428837571557,618056,610303,1228359,49.6844163636201,50.3155836363799,..
2000,YR2000,"Gambia, The",GMB,42.682,55.956,54.859,57.153,3.12878868818271,661441,656267,1317708,49.803674258637,50.196325741363,..
2000,YR2000,Georgia,GEO,12.063,69.902,66.072,73.595,-1.9446291567975,2140305,1936826,4077131,47.504621538202,52.495378461798,..
2000,YR2000,Germany,DEU,9.3,77.9268292682927,75,81,0.135431600393084,42176244,40035264,82211508,48.6978832895461,51.3021167104539,..
2000,YR2000,Ghana,GHA,35.671,57.002,56.228,57.764,2.44940610708239,9548140,9730710,19278850,50.4734981599006,49.5265018400994,..
2000,YR2000,Gibraltar,GIB,..,..,..,..,1.80179205210862,..,..,31081,..,..,..
2000,YR2000,Greece,GRC,9.6,77.8878048780488,75.4,80.5,0.409041838238246,5434805,5371003,10805808,49.7047807622795,50.2952192377205,..
2000,YR2000,Greenland,GRL,15.6,66.9634146341463,64.3,69.76,0.178094437099469,..,..,56200,..,..,..
2000,YR2000,Grenada,GRD,18.444,72.648,70.025,75.269,0.39753348076311,51694,51143,102837,49.7321003140893,50.2678996859107,..
2000,YR2000,Guam,GUM,21.936,75.011,72.781,77.532,0.884646771918689,75896,79427,155323,51.136663597793,48.863336402207,..
2000,YR2000,Guatemala,GTM,35.341,67.849,64.652,71.046,2.43394364463754,5902947,5686814,11589761,49.067570277057,50.932429722943,..
2000,YR2000,Guinea,GIN,44.21,51.203,51.166,51.182,2.28281802003565,4306936,3933799,8240735,47.7360211194754,52.2639788805246,..
2000,YR2000,Guinea-Bissau,GNB,41.828,50.368,47.584,53.098,2.03266448495943,620459,580846,1201305,48.3512513474929,51.6487486525071,..
2000,YR2000,Guyana,GUY,25.704,65.242,62.266,68.444,-0.395350937367065,374624,372094,746718,49.8305920039426,50.1694079960574,..
2000,YR2000,Haiti,HTI,31.777,57.131,55.215,59.061,1.72480119083689,4296267,4167535,8463802,49.2395143459169,50.7604856540831,..
2000,YR2000,Heavily indebted poor countries (HIPC),HPC,42.950726231873,52.2641006114192,50.7427039326416,53.8342104423883,2.79239372798527,237184858,234495945,471680803,49.7149647618794,50.2850352381206,..
2000,YR2000,High income,HIC,12.3187992214652,77.5938013724388,74.6549818680381,80.7015475350635,0.619928702979621,544791109,529324275,1074819578,49.2800199023659,50.7199800976342,..
2000,YR2000,Honduras,HND,33.829,70.689,68.361,73.043,2.73490350846581,3305010,3269500,6574510,49.7299418511798,50.2700581488202,..
2000,YR2000,"Hong Kong SAR, China",HKG,8.1,80.8780487804878,78,83.9,0.881594075853745,3386423,3278577,6665000,49.1909575183067,50.8090424816933,..
2000,YR2000,Hungary,HUN,9.6,71.2463414634146,67.1,75.6,-0.259764908288633,5353038,4857933,10210971,47.575624658224,52.424375341776,..
2000,YR2000,IBRD only,IBD,..,..,..,..,..,..,..,..,..,..,..
2000,YR2000,Iceland,ISL,15.3,79.6536585365854,77.8,81.6,1.36919283329812,140483,140722,281205,50.0426117622727,49.9573882377273,..
2000,YR2000,IDA & IBRD total,IBT,23.5665466481531,65.4904927739599,63.5538739668389,67.5993203940974,1.45522580848608,2503205398,2560247114,5065355830,50.5632689561614,49.4367310438386,..
2000,YR2000,IDA blend,IDB,..,..,..,..,..,..,..,..,..,..,..
2000,YR2000,IDA only,IDX,..,..,..,..,..,..,..,..,..,..,..
2000,YR2000,IDA total,IDA,..,..,..,..,..,..,..,..,..,..,..
2000,YR2000,India,IND,26.401,62.505,61.729,63.334,1.76812551036934,507187684,549387864,1056575548,51.9970261511295,48.0029738488705,..
2000,YR2000,Indonesia,IDN,21.773,65.772,64.349,67.185,1.37990809661569,105659995,105853827,211513822,50.0458201733975,49.9541798266025,..
2000,YR2000,"Iran, Islamic Rep.",IRN,17.654,70.176,69.257,71.129,1.26131875933023,32235845,33387552,65623397,50.877512482324,49.1224875176761,..
2000,YR2000,Iraq,IRQ,35.821,69.082,66.753,71.555,3.00468935302498,11645105,11852484,23497589,50.4412771880553,49.5587228119447,..
2000,YR2000,Ireland,IRL,14.4,76.5365853658537,74,79.2,1.33304266586712,1913728,1891446,3805174,49.7072106304494,50.2927893695506,..
2000,YR2000,Isle of Man,IMN,..,..,..,..,1.23711839452682,..,..,76942,..,..,..
2000,YR2000,Israel,ISR,21.7,78.9536585365854,77.1,80.9,2.64233191305756,3190138,3098862,6289000,49.2743210545533,50.7256789454467,..
2000,YR2000,Italy,ITA,9.5,79.7780487804878,76.9,82.8,0.045303631138613,29386547,27555561,56942108,48.3922385201006,51.6077614798994,..
2000,YR2000,Jamaica,JAM,21.372,74.142,72.835,75.498,0.832970134523692,1334328,1320370,2654698,49.7371075730648,50.2628924269352,..
2000,YR2000,Japan,JPN,9.4,81.0760975609756,77.72,84.6,0.167275578113187,64552936,62290064,126843000,49.1080028061818,50.8919971938182,..
2000,YR2000,Jordan,JOR,31.709,71.73,70.37,73.26,1.78729939638372,2467365,2655130,5122495,51.8327494707169,48.1672505292831,..
2000,YR2000,Kazakhstan,KAZ,14.92,65.45,60.2,71.2,-0.300201486690526,7725228,7158398,14883626,48.0957900179619,51.9042099820381,..
2000,YR2000,Kenya,KEN,40.037,50.921,48.657,53.345,2.74596517399425,16097751,15866806,31964557,49.6387483173942,50.3612516826058,..
2000,YR2000,Kiribati,KIR,30.579,63.144,60.35,65.959,1.71595974989047,42813,41592,84405,49.2767016172028,50.7232983827972,..
2000,YR2000,"Korea, Dem. People's Rep.",PRK,17.973,65.268,61.182,68.967,0.865557871602023,11751350,11177728,22929078,48.7491385392819,51.2508614607181,..
2000,YR2000,"Korea, Rep.",KOR,13.5,75.909756097561,72.3,79.7,0.836180864297766,23422408,23585703,47008111,50.1736889515549,49.8263110484451,..
2000,YR2000,Kosovo,XKX,22.9,67.7439024390244,65.5,70.1,-3.58212764518173,..,..,1700000,..,..,..
2000,YR2000,Kuwait,KWT,22.817,73.142,72.382,74.303,4.67868648538721,849821,1195302,2045123,58.4464601884581,41.5535398115419,..
2000,YR2000,Kyrgyz Republic,KGZ,19.8,68.5585365853659,64.9,72.4,1.19112592398474,2476445,2421955,4898400,49.4438000029264,50.5561999970736,..
2000,YR2000,Lao PDR,LAO,31.985,58.803,57.001,60.615,1.67371395015388,2673778,2649923,5323701,49.775954735249,50.224045264751,..
2000,YR2000,Late-demographic dividend,LTE,14.8299287145677,70.9034674602679,68.2966093084389,73.7748296075067,0.764248941902636,1013912518,1031204938,2045117456,50.4227732401509,49.5772267598491,..
2000,YR2000,Latin America & Caribbean,LCN,22.2473416761772,71.687389574031,68.531384410749,74.9269411359417,1.4681090791689,263454770,257192728,520903474,49.3986293372965,50.6013706627035,..
2000,YR2000,Latin America & Caribbean (excluding high income),LAC,22.4808276026518,71.4522216628266,68.3272127220015,74.6601499687114,1.47815816090056,238770852,232965418,471805920,49.3846737974203,50.6153262025797,..
